Marca,Modelo,Titulo,category,listPrice,sku
,,Geladeira/Refrigerador Panasonic Frost Free 2 Portas NR BT47BD2XA 435 Litros Aço Escovado,Geladeira/Refrigerador,,680863100
,,Geladeira/Refrigerador Esmaltec 2 Portas Cycle Defrost RCD34 276 Litros Preto,Geladeira/Refrigerador,,617928400
,,Geladeira/Refrigerador Esmaltec 2 Portas Cycle Defrost RCD38 306 Litros Branco,Geladeira/Refrigerador,,632761800
,,Geladeira/Refrigerador Electrolux Frost Free 2 Portas DFN39 310 Litros Branco,Geladeira/Refrigerador,,668264000
,RE35,Refrigerador Degelo Prático  240L Branco (RE35) - Electrolux,Geladeira/Refrigerador,,731687400
,,Expositor/Refrigerador Vertical Porta de Vidro para Bebidas 350 Litros VB40RE com Controlador Eletrônico - Metalfrio,Geladeira/Refrigerador,,632384200
,,Geladeira/Refrigerador Electrolux 2 Portas Cycle Defrost DC44 362 Litros Branco 220v,Geladeira/Refrigerador,,673271700
,,Mini Geladeira Branca 04L 110V TV010 Multilaser,Frigobar,,751061900
,,Refrigerador Electrolux 1 Porta 240L Cycle Defrost 127V - RE31,Geladeira/Refrigerador,,513541600
,,Refrigerador Electrolux 2 Portas 362 Litros Branco Cycle Defrost 127v,Geladeira/Refrigerador,,525810800
,,Refrigerador Elux Db52X 127V Electrolux,Geladeira/Refrigerador,,754150600
,,Refrigerador Elux Df52X 127V Electrolux,Geladeira/Refrigerador,,756553700
,,Refrigerador Consul 275 Litros 2 Portas Frost Free com Bandeja Deslizante CRM35,Geladeira/Refrigerador,,653901900
,,Refrigerador French Door 614L Inox Look - Samsung,Geladeira/Refrigerador,,586514100
,,Refrigerador Samsung RT6000K Twin Cooling Duplex 453 litros Frost Free Inox 110V RT46K6361SL/AZ,Geladeira/Refrigerador,,679096600
,,Geladeira/Refrigerador Samsung Frost Free 2 Portas RT46K6341WW Twin Cooling Plus 453 Litros Branco,Geladeira/Refrigerador,,594076700
,,Refrigerador Brastemp Side By Side Inverse 540 Litros Iluminação em LED BRO80,Geladeira/Refrigerador,,627466900
,,Refrigerador Consul 386L Frost Free Classe A - CRM43,Geladeira/Refrigerador,,688706400
,,Frigobar Cuisinart 178 Litros Inox/Preto 220V 4092810001,Frigobar,,852916400
,,Refrigerador Brastemp Duplex Frost Free Branco 400L BRM54HB - 127V,Geladeira/Refrigerador,,539057800
,,Refrigerador Electrolux 3 Portas Frost Free 579 Litros DM84X,Geladeira/Refrigerador,,636002300
,,Geladeira Refrigerador Electrolux 433 Litros Frost Free 2 Portas TF51,Geladeira/Refrigerador,,697681900
,,Geladeira Refrigerador Electrolux 370 Litros Frost Free DFX42,Geladeira/Refrigerador,,683951900
,,Refrigerador Electrolux 2 Portas 380 Litros Inox Frost Free 127v,Geladeira/Refrigerador,,503680600
,,Geladeira/Refrigerador 2 Portas Frost Free NR-BB53PV3WA 425 Litros Branco - Panasonic,Geladeira/Refrigerador,,687954600
,Multi-portas,Geladeira Samsung French Door 3 Portas 441 Litros Inox 110V RF62HERS1/AZ,Geladeira/Refrigerador,,776019500
,,Geladeira/Refrigerador Panasonic 2 Portas Frost Free NR-BB53GV3B 425 Litros Preto,Geladeira/Refrigerador,,631181300
,,Geladeira/Refrigerador Panasonic Frost Free 2 Portas NR BT40BD1 387 Litros Aço Escovado,Geladeira/Refrigerador,,612993400
,,Geladeira/Refrigerador Samsung Frost Free 2 Portas RL4353JBASL/AZ 435 Litros Inox,Geladeira/Refrigerador,,643238700
,,Refrigerador 1 Porta Consul Facilite Frost Free Branco 342L 110V CRB39ABANA,Geladeira/Refrigerador,,657500900
,,Geladeira/Refrigerador Samsung Frost Free 2 Portas RT46K6361SL Twin Cooling Plus 453 Litros Inox,Geladeira/Refrigerador,,611257300
,,Refrigerador Consul 405 Litros Fost Free 2 Portas Painel Touchscreen CRM51,Geladeira/Refrigerador,,601447000
,,Geladeira/Refrigerador Electrolux 2 Portas Cycle Defrost DC44 362 Litros Branco,Geladeira/Refrigerador,,639778500
,,Refrigerador Expositor para Bebidas Metalfrio com Controlador Eletrônico 572 Litros VB52R 110V,Geladeira/Refrigerador,,678432400
,,Refrigerador Expositor para Bebidas Metalfrio com Controlador Eletrônico 572 Litros VB52R 220V,Geladeira/Refrigerador,,615254900
,2 Portas,Refrigerador 443L Side Inverse Brastemp BRE57 Frost Free,Geladeira/Refrigerador,,661504900
,,Geladeira/Refrigerador Consul Frost Free 2 Portas CRM43NB 386 Litros Branco 220V,Geladeira/Refrigerador,,654356400
,,Expositor/Refrigerador Vertical Porta de Vidro VB28R 296 Litros Branco - Metalfrio,Geladeira/Refrigerador,,719236900
,,Geladeira/Refrigerador Samsung Frost Free 2 Portas RL4353JBASL/AZ 435 Litros Inox 220V,Geladeira/Refrigerador,,619395400
,,Geladeira/Refrigerador Samsung 4 Portas RF56K9040SR/AZ 564 Litros Inox 110V,Geladeira/Refrigerador,,636880700
,,Frigobar Brastemp Retrô 76 Litros Preto 110V BRA08AEANA,Frigobar,,858368800
,,Refrigerador Geladeira 1 Porta Facilite 342L 220v Evox FF - Consul,Geladeira/Refrigerador,,660394700
,,Geladeira/Refrigerador Panasonic Frost Free 2 Portas NR BT42BV1 387 Litros Tecnologia Inverter Aço Escovado,Geladeira/Refrigerador,,616977500
